id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_1119,"Combo BNBG Trọn Bộ 7 Mặt Nạ Dưỡng Da Cao Cấp","Combo bao gồm 7 loại Mặt Nạ BNBG Dưỡng Da Cao Cấp: 
 
  BNBG Vita Cocktail Brightening Foil Mask - Dưỡng Sáng Da, Mờ Thâm Nám 
  BNBG Vita Cocktail Age Foil Mask - Dưỡng Săn Chắc Da, Ngăn Ngừa Lão Hóa 
  BNBG Vita Cocktail Aqua Foil Mask - Dưỡng Ẩm Da 
  BNBG Vita Genic Hydrating Jelly Mask - Vitamin E Dưỡng Ẩm Da 
  BNBG Vita Genic Whitening Jelly Mask - Vitamin C Dưỡng Sáng Da 
  BNBG Vita Genic Relaxing Jelly Mask - Vitamin B Hỗ Trợ Phục Hồi Da Hư Tổn 
  BNBG Vita Genic Lifting Jelly Mask - Vitamin A Hỗ Trợ Nâng Cơ Mặt",http://localhost/mshop/wp-content/uploads/2022/06/google-shopping-combo-bnbg-tron-bo-7-mat-na-duong-da-cao-cap.jpg,http://localhost/mshop/san-pham/combo-bnbg-tron-bo-7-mat-na-duong-da-cao-cap/,"Mặt Nạ","Mshop",350VND,in stock,wc_post_id_1119,,,,,new,published,,,,,,,
wc_post_id_1117,"Mặt Nạ Ngủ Senka Cấp Ẩm Chuyên Sâu Dạng Gel 50g","Mặt Nạ Ngủ Senka Cấp Ẩm Chuyên Sâu Dạng Gel 50g là sản phẩm mặt nạ ngủ đến từ thương hiệu mỹ phẩm chăm sóc da đình đám SENKA – thuộc tập đoàn Shisedo Nhật Bản, giúp cấp ẩm chuyên sâu & nuôi dưỡng làn da ẩm mịn tự nhiên suốt 24h, cho bạn sở hữu làn da đẹp chuẩn Nhật như chiếc bánh Mochi trong mướt!",http://localhost/mshop/wp-content/uploads/2022/06/dd723fdffe169f54a94a652d5aac12eb_tn.png,http://localhost/mshop/san-pham/mat-na-ngu-senka-cap-am-chuyen-sau-dang-gel-50g/,"Mặt Nạ","Mshop",250VND,in stock,wc_post_id_1117,,,,,new,published,,,,,,,
wc_post_id_1115,"Nước Cân Bằng Paula’s Choice Điều Chỉnh Lỗ Chân Lông 190ml","Nước Cân Bằng Điều Chỉnh Lỗ Chân Lông Paula’s Choice Skin Balancing Pore-Reducing Toner là dòng Toner dành cho da dầu đến từ thương hiệu dược mỹ phẩm Paula's Choice, giúp cân bằng da, điều tiết dầu thừa và hỗ trợ cải thiện lỗ chân lông một cách hiệu quả, cho hiệu quả dưỡng ẩm tối ưu cho làn da dầu, mang lại cảm giác dịu nhẹ, dễ chịu và không bị nhờn dính.",http://localhost/mshop/wp-content/uploads/2022/06/ae3a8f1fd3f6af96cde5effcf5f5ce9e.jpg,http://localhost/mshop/san-pham/nuoc-can-bang-paulas-choice-dieu-chinh-lo-chan-long-190ml/,"Nước Hoa Hồng","Mshop",580VND,in stock,wc_post_id_1115,,,,,new,published,,,,,,,
8_1113,"Nước Hoa Hồng Skin1004 Phục Hồi Và Tái Tạo Da 210ml","Nước Hoa Hồng Chiết Xuất Rau Má Hỗ Trợ Phục Hồi, Tái Tạo Da Skin1004 Madagascar Centella Toning Toner 210ml từ thương hiệu Skin1004 của Hàn Quốc giúp loại bỏ được chất nhờn, bụi bẩn còn sót lại tận sâu trong lỗ chân lông, vừa cung cấp độ ẩm cho da, cân bằng PH cho da hiệu quả, vừa có công dụng làm se khít lỗ chân lông. Chiết xuất từ thành phần tự nhiên, êm dịu cho da lại có tác dụng phục hồi da bị tổn thương nên da mụn, nhạy cảm vẫn có thể sử dụng nước hoa hồng này.",http://localhost/mshop/wp-content/uploads/2022/06/4d660e4a15bbb80be85825448c68bd05.png,http://localhost/mshop/san-pham/nuoc-hoa-hong-skin1004-phuc-hoi-va-tai-tao-da-210ml/,"Nước Hoa Hồng, Sản phẩm giảm giá","Mshop",295VND,in stock,8_1113,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,95VND,new,published,,,,,,,
7_1111,"Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml","Nước Hoa Hồng Không Mùi Dành Cho Da Nhạy Cảm Klairs Supple Preparation Unscented Toner 180ml là sản phẩm toner đến từ thương hiệu Klairs của Hàn Quốc, giúp dưỡng ẩm và làm mềm da từ chiết xuất thực vật lành tính. Đồng thời loại bỏ bụi bẩn, bã nhờn dư thừa và cân bằng độ pH tự nhiên trên da",http://localhost/mshop/wp-content/uploads/2022/06/nuoc-hoa-hong-khong-mui-klairs.jpg,http://localhost/mshop/san-pham/nuoc-hoa-hong-klairs-khong-mui-cho-da-nhay-cam-180ml/,"Nước Hoa Hồng, Sản phẩm giảm giá","Mshop",290VND,in stock,7_1111,,,2022-06-21T00:00:00+00:00/2022-06-30T23:59:59+00:00,250VND,new,published,,,,,,,
6_1109,"Kem Dưỡng Simple Cấp Ẩm Dành Cho Mọi Loại Da 125ml","Kem Dưỡng Simple Cấp Ẩm Dành Cho Mọi Loại Da 125ml là dòng kem dưỡng đến từ thương hiệu mỹ phẩm Simple của Anh Quốc, với thành phần Pro Vitamin B5, Vitamin E và bisabalol có công dụng cấp ẩm sâu mang lại làn da mềm mại, mịn màng suốt 12 giờ đồng hồ",http://localhost/mshop/wp-content/uploads/2022/06/smnastaiorngosdgsn2021092311371321091627.jpg,http://localhost/mshop/san-pham/kem-duong-simple-cap-am-danh-cho-moi-loai-da-125ml/,"Kem dưỡng ẩm, Sản phẩm giảm giá","Mshop",145VND,in stock,6_1109,,,2022-06-21T00:00:00+00:00/2022-06-29T23:59:59+00:00,95VND,new,published,,,,,,,
wc_post_id_1107,"Kem Dưỡng Ẩm Neutrogena Cấp Nước Cho Da Dầu 50g","Kem Dưỡng Ẩm Neutrogena Hydro Boost Water Gel 50g là kem dưỡng ẩm đến từ thương hiệu mỹ phẩm Neutrogena của Mỹ, với kết cấu dạng gel siêu nhẹ độc đáo có khả năng thẩm thấu ngay tức thì vào da sau khi thoa, mang lại hiệu quả cấp ẩm và khóa ẩm vượt trội từ sâu bên trong da, đồng thời liên tục làm dịu 'cơn khát' của làn da trong suốt cả ngày dài, duy trì độ ẩm tối ưu mà không hề nhờn rít hay bí bách.",http://localhost/mshop/wp-content/uploads/2022/06/kem-duong-am-neutrogena-hydro-boost-water-gel-50ml-1_f2d7fec6e27f48ff8354ee316423944e.jpg,http://localhost/mshop/san-pham/kem-duong-am-neutrogena-cap-nuoc-cho-da-dau-50g/,"Kem dưỡng ẩm","Mshop",225VND,in stock,wc_post_id_1107,,,,,new,published,,,,,,,
5_1104,"Kem Dưỡng La Roche-Posay Làm Dịu, Hỗ Trợ Phục Hồi Da 100ml","Kem Dưỡng La Roche-Posay Cicaplast Baume B5 Soothing Repairing Balm là sản phẩm kem dưỡng dành cho da nhạy cảm đến từ thương hiệu La Roche-Posay, giúp dưỡng ẩm và làm dịu tình trạng da kích ứng, tổn thương, hỗ trợ phục hồi làn da. Sản phẩm được khuyên dùng sau các liệu trình điều trị thẩm mỹ & kích ứng da nhẹ ở người lớn, trẻ em và trẻ sơ sinh.",http://localhost/mshop/wp-content/uploads/2022/06/CICAPLAST-BAUME-B5-40ml.jpg,http://localhost/mshop/san-pham/kem-duong-la-roche-posay-lam-diu-ho-tro-phuc-hoi-da-100ml/,"Kem dưỡng ẩm, Sản phẩm giảm giá","Mshop",290VND,in stock,5_1104,,,2022-06-21T00:00:00+00:00/2022-06-26T23:59:59+00:00,275VND,new,published,,,,,,,
wc_post_id_1102,"Kem Trị Mụn Megaduo: Gel Giảm Mụn Và Vết Thâm Megaduo Gel 15g","Gel Giảm Mụn Và Vết Thâm Megaduo Gel là sản phẩm đặc trị làm giảm mụn - mờ thâm đến từ thương hiệu Gamma Chemicals VN. Công thức được bào chế tiên tiến chứa thành phần Glycolic Acid và Azelaic Acid trên nền gel không nhờn dễ thẩm thấu, giúp nhanh chóng ức chế và loại bỏ vi khuẩn gây mụn, làm xẹp mụn và ngăn ngừa hình thành mụn hiệu quả, đồng thời hỗ trợ mờ vết thâm do mụn để lại.",http://localhost/mshop/wp-content/uploads/2022/06/00008523-megaduo-gel-15g-7759-5cda_large.jpg,http://localhost/mshop/san-pham/gel-giam-mun-va-vet-tham-megaduo-gel-15g/,"Kem dưỡng ẩm","Mshop",95VND,in stock,wc_post_id_1102,,,,,new,published,,,,,,,
wc_post_id_1100,"Tinh Chất Paula’s Choice Ngừa Lão Hóa, Nám & Nếp Nhăn 30ml","Tinh Chất Ngừa Lão Hóa, Nám & Nếp Nhăn Paula’s Choice Clinical 1% Retinol Treatment đến từ thương hiệu dược mỹ phẩm Paula's Choice nổi tiếng của Mỹ với công thức độc đáo chứa 1% Retinol và thành phần Peptide & Vitamin C sẽ là giải pháp trong việc cấp ẩm và ngăn ngừa lão hóa da, sạm nám và nếp nhăn hiệu quả.",http://localhost/mshop/wp-content/uploads/2022/06/8010-clinical-1-retinol-treatment-slide-1-08062020.jpg,http://localhost/mshop/san-pham/tinh-chat-paulas-choice-ngua-lao-hoa-nam-nep-nhan-30ml/,"Sản phẩm giảm giá, Serum - Tinh chất","Mshop",1450VND,in stock,wc_post_id_1100,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,999VND,new,published,,,,,,,
wc_post_id_1098,"Gel Dưỡng Eucerin Giảm Mụn Viêm & Không Viêm 40ml","Gel Làm Giảm Mụn Eucerin Pro Acne A.I Clearing Treatment 40ml đến từ thương hiệu dược mỹ phẩm Eucerin là sản phẩm gel đặc trị thích hợp cho tình trạng mụn nhẹ đến trung bình nhờ bộ 3 phức hợp Glycolic Acid, Salicylic Acid & Polyhydroxy Acid có khả năng tẩy tế bào chết dịu nhẹ, vừa giúp kháng khuẩn, loại bỏ tế bào chết vừa làm thông thoáng lỗ chân lông và hỗ trợ tái tạo da, giúp giảm mụn và thâm sau mụn, ngăn ngừa mụn tái lại.",http://localhost/mshop/wp-content/uploads/2022/06/facebook-dynamic-tinh-chat-eucerin-giam-mun-viem-khong-viem-40ml.jpg,http://localhost/mshop/san-pham/gel-duong-eucerin-giam-mun-viem-khong-viem-40ml/,"Serum - Tinh chất","Mshop",360VND,in stock,wc_post_id_1098,,,,,new,published,,,,,,,
wc_post_id_1096,"Tinh Chất Klairs Dưỡng Ẩm Sâu Cho Da 80ml","Tinh Chất Klairs Dưỡng Ẩm Sâu Cho Da 80ml đến từ thương hiệu mỹ phẩm Dear Klairs – trực thuộc By Wishtrend Hàn Quốc là sản phẩm tinh chất (serum) giúp cung cấp độ ẩm chuyên sâu dành cho tình trạng da khô mất nước, giúp da trở nên căng mọng ngay tức thì, đồng thời hỗ trợ làm dịu mát da, xoa dịu mẩn đỏ và hỗ trợ ngăn ngừa các dấu hiệu lão hóa.",http://localhost/mshop/wp-content/uploads/2022/06/google-shopping-tinh-chat-klairs-duong-am-sau-cho-da-80ml.jpg,http://localhost/mshop/san-pham/tinh-chat-klairs-duong-am-sau-cho-da-80ml/,"Serum - Tinh chất","Mshop",220VND,in stock,wc_post_id_1096,,,,,new,published,,,,,,,
wc_post_id_1094,"Tinh Chất La Roche-Posay Phục Hồi Độ Ẩm, Săn Chắc Da 30ml","Tinh Chất La Roche-Posay Hyalu B5 Serum là dòng serum chuyên biệt của thương hiệu La Roche-Posay với công thức giúp tái tạo & phục hồi da độc đáo gồm hai phân tử Hyaluronic Acid nguyên chất, vitamin B5 và Madecassoside, giúp làn da căng mịn, trở nên săn chắc & đàn hồi hơn, đồng thời giúp phục hồi hàng rào bảo vệ da và kích hoạt tái tạo da.",http://localhost/mshop/wp-content/uploads/2022/06/1610594175583-tinh-chat-la-roche-posay-phuc-hoi-do-am-san-chac-da-hyalu-b5-serum-600x600-1.jpeg,http://localhost/mshop/san-pham/tinh-chat-la-roche-posay-phuc-hoi-do-am-san-chac-da-30ml/,"Serum - Tinh chất","Mshop",550VND,in stock,wc_post_id_1094,,,,,new,published,,,,,,,
wc_post_id_1092,"Cà Phê Đắk Lắk Cocoon Làm Sạch Da Chết Cho Mặt 150ml","Làm Sạch Da Chết Cho Mặt Cocoon Từ Cà Phê Đắk Lắk 150ml là dòng tẩy da chết cho mặt đến từ thương hiệu mỹ phẩm Cocoon của Việt Nam, thành phần từ hạt cà phê Đắk Lắk xay nhuyễn giàu cafeine hòa quyện với bơ cacao Tiền Giang giúp loại bỏ lớp tế bào chết già cỗi và xỉn màu, đánh thức làn da tươi mới, mang lại làn da mịn màng ngay sau lần đầu sử dụng, làn da sáng mịn, đều màu trông thấy.",http://localhost/mshop/wp-content/uploads/2022/06/ef3fea66eb3931a3576fd4253c1b20c2.jpg,http://localhost/mshop/san-pham/ca-phe-dak-lak-cocoon-lam-sach-da-chet-cho-mat-150ml/,"Tẩy tế bào chết","Mshop",180VND,in stock,wc_post_id_1092,,,,,new,published,,,,,,,
wc_post_id_1090,"Gel Tẩy Tế Bào Chết La Roche-Posay Cho Da Nhạy Cảm 50ml","Trong quy trình chăm sóc da, tẩy tế bào chết cũng là một trong những bước quan trọng và không thể bỏ qua nên bạn muốn sở hữu một làn da đều màu, sáng khỏe. Là sản phẩm thuộc thương hiệu mỹ phẩm nổi tiếng đến từ nước Pháp, Gel Tẩy Tế Bào Chết Cho Da Nhạy Cảm La Roche-Posay Ultra Fine Scrub Sensitive Skin với công thức cân bằng không gây kích ứng da, an toàn cho da nhạy cảm và thành phần không chứa paraben sẽ giúp nhẹ nhàng làm sạch và loại bỏ lớp tế bào chết trên bề mặt da, hỗ trợ làm sạch, cải thiện sắc tố da và giúp mang đến cho bạn một làn da mượt mà và tươi sáng",http://localhost/mshop/wp-content/uploads/2022/06/d1b5a951e77cdb0d8f9424213661d6cd.jpg,http://localhost/mshop/san-pham/gel-tay-te-bao-chet-la-roche-posay-cho-da-nhay-cam-50ml/,"Tẩy tế bào chết","Mshop",250VND,in stock,wc_post_id_1090,,,,,new,published,,,,,,,
wc_post_id_1088,"Tẩy Tế Bào Chết Eucerin Dành Cho Da Nhờn Mụn 100ml","Tẩy Tế Bào Chết Eucerin Pro ACNE Solution Scrub là sản phẩm tẩy tế bào chết đến từ thương hiệu dược mỹ phẩm Eucerin, với công thức không chứa dầu, kết hợp thành phần Lactic Acid giúp làm sạch nhẹ dịu, giảm các tác nhân gây mụn đầu trắng và mụn đầu đen, đồng thời loại bỏ cặn trang điểm hiệu quả. Sản phẩm thích hợp sử dụng cho những bạn có làn da nhờn mụn mong muốn sở hữu một làn da mịn màng và khỏe mạnh hơn.",http://localhost/mshop/wp-content/uploads/2022/06/21640d76667f0a3e1475c188c92ff6c9.jpg,http://localhost/mshop/san-pham/tay-te-bao-chet-eucerin-danh-cho-da-nhon-mun-100ml/,"Tẩy tế bào chết","Mshop",285VND,in stock,wc_post_id_1088,,,,,new,published,,,,,,,
wc_post_id_1086,"Dung Dịch Tẩy Da Chết Paula’s Choice BHA 2% 118ml","Dung Dịch Loại Bỏ Tế Bào Chết Paula’s Choice Skin Perfecting 2% BHA Liquid Exfoliant đến từ thương hiệu dược mỹ phẩm Paula's Choice nổi tiếng của Mỹ là sản phẩm tẩy tế bào chết hóa học với nồng độ 2% BHA (Salicylic Acid) giúp làm sạch sâu lỗ chân lông, cải thiện tình trạng mụn ẩn - mụn đầu đen, đồng thời làm mờ nếp nhăn sâu, cải thiện tông màu da, mang lại cho bạn làn da sáng mịn, rạng rỡ và khỏe mạnh. Công thức sản phẩm dịu nhẹ, không gây bào mòn da, dễ dàng thẩm thấu mà không làm bít tắc lỗ chân lông.",http://localhost/mshop/wp-content/uploads/2022/06/5634ed139ea18cd46d3d3ec5ad02eec0_tn.jpg,http://localhost/mshop/san-pham/dung-dich-tay-da-chet-paulas-choice-bha-2-118ml/,"Tẩy tế bào chết","Mshop",375VND,in stock,wc_post_id_1086,,,,,new,published,,,,,,,
wc_post_id_1084,"Kem Chống Nắng Caryophy Nâng Tone SPF50+ PA+++ 50ml","Kem Chống Nắng Caryophy Smart Sunscreen Tone Up SPF50+ PA+++ là sản phẩm chống nắng mới đến từ thương hiệu mỹ phẩm Caryophy Hàn Quốc, với công thức chống nắng vật lý kết hợp hoá học, giúp tạo lớp màng chắn bảo vệ da khỏi tia UV, ngăn không cho cho chúng xuyên thấu vào da. Bên cạnh đó, sản phẩm có khả năng chống thấm thấm nước cao, nâng tone da nhẹ nhàng và hỗ trợ ngăn ngừa mụn, làm mờ thâm hiệu quả",http://localhost/mshop/wp-content/uploads/2022/06/google-shopping-kem-chong-nang-caryophy-nang-tone-spf50-pa-50ml_img_358x358_843626_fit_center.jpg,http://localhost/mshop/san-pham/kem-chong-nang-caryophy-nang-tone-spf50-pa-50ml/,"Kem chống nắng","Mshop",285VND,in stock,wc_post_id_1084,,,,,new,published,,,,,,,
wc_post_id_1081,"Kem Chống Nắng Eucerin Chứa Tinh Chất Sáng Da 50ml","Nếu bạn đang tìm kiếm một sản phẩm kem chống nắng 2 trong 1: vừa là chống nắng bảo vệ da trước các tác nhân gây hại từ ánh nắng mặt trời, vừa là serum dưỡng sáng da, giảm thâm nám thì Kem Chống Nắng Giúp Giảm Thâm Nám Và Dưỡng Sáng Da Eucerin Sun Serum Spotless Brightening SPF50+ chính là sản phẩm phù hợp nhất dành cho bạn. 
 
Eucerin Sun Serum Spotless Whitening SPF50+ là kem chống nắng hàng ngày với kết cấu dạng tinh chất (serum) mỏng nhẹ dành cho mọi loại da, giúp ngăn ngừa thâm & nám da do ánh nắng mặt trời. Với công nghệ quang phổ cải tiến của Eucerin, Sun Serum Spotless Whitening SPF50+ giúp ngăn chặn tia UVA / UVB và tia HEVIS hiệu quả. Đồng thời, sản phẩm còn hỗ trợ cơ chế bảo vệ và tái tạo DNA của da.",http://localhost/mshop/wp-content/uploads/2022/06/Sun-Double-Whitening_Front-2000.png,http://localhost/mshop/san-pham/kem-chong-nang-eucerin-chua-tinh-chat-sang-da-50ml/,"Kem chống nắng","Mshop",490VND,in stock,wc_post_id_1081,,,,,new,published,,,,,,,
